planet_name,host_star,discovery_method,discovery_year,orbital_period_days,planet_radius_earth,planet_mass_earth,equilibrium_temperature,star_temperature,star_radius,star_mass,distance_pc,right_ascension,declination
Kepler-1217 b,Kepler-1217,Transit,2016,2.032319072,1.87,,1542.0,6156.0,1.05,1.114,1347.71,289.1866841,50.9375614
Kepler-1217 b,Kepler-1217,Transit,2016,2.0323166376,,,,5852.0,1.07297,1.06,1347.71,289.1866841,50.9375614
Kepler-1217 b,Kepler-1217,Transit,2016,2.032319072,,,,5852.0,1.07297,1.06,1347.71,289.1866841,50.9375614
Kepler-1217 b,Kepler-1217,Transit,2016,,1.851,,,6151.0,1.038,,1347.71,289.1866841,50.9375614
Kepler-1218 b,Kepler-1218,Transit,2016,,1.742,,,5832.0,1.413,,840.503,291.5788505,44.5316825
Kepler-1218 b,Kepler-1218,Transit,2016,22.9221266,1.44,,,5986.0,1.1,1.06,840.503,291.5788505,44.5316825
Kepler-1218 b,Kepler-1218,Transit,2016,22.92272,1.47,,754.0,6282.0,1.22,1.12,840.503,291.5788505,44.5316825
Kepler-1218 b,Kepler-1218,Transit,2016,22.9221181,,,,5861.91,1.47249,1.06,840.503,291.5788505,44.5316825
Kepler-1218 b,Kepler-1218,Transit,2016,22.9221181,1.33,,684.0,5897.0,1.081,0.97,840.503,291.5788505,44.5316825
Kepler-1218 b,Kepler-1218,Transit,2016,22.92213644,,,,5861.91,1.47249,1.06,840.503,291.5788505,44.5316825
Kepler-1218 b,Kepler-1218,Transit,2016,22.9221266,1.36,,684.0,5897.0,1.081,0.97,840.503,291.5788505,44.5316825
Kepler-1218 b,Kepler-1218,Transit,2016,22.9229582451,,,,5861.91,1.47249,1.06,840.503,291.5788505,44.5316825
Kepler-1218 b,Kepler-1218,Transit,2016,22.9221266,1.751,,,5832.0,1.387,0.98,840.503,291.5788505,44.5316825
Kepler-1219 b,Kepler-1219,Transit,2016,,3.03,,,6003.0,2.726,,880.895,297.2158443,47.3785082
Kepler-1219 b,Kepler-1219,Transit,2016,16.10474503,,,,5799.61,2.87486,1.04,880.895,297.2158443,47.3785082
Kepler-1219 b,Kepler-1219,Transit,2016,16.10467749,2.977,,,6003.0,2.672,1.454,880.895,297.2158443,47.3785082
Kepler-1219 b,Kepler-1219,Transit,2016,16.10467749,1.32,,825.0,6053.0,1.188,0.991,880.895,297.2158443,47.3785082
Kepler-1219 b,Kepler-1219,Transit,2016,16.10467749,2.12,,,5944.0,1.94,1.25,880.895,297.2158443,47.3785082
Kepler-1219 b,Kepler-1219,Transit,2016,16.10438325,,,,5799.61,2.87486,1.04,880.895,297.2158443,47.3785082
Kepler-1219 b,Kepler-1219,Transit,2016,16.1051008013,,,,5799.61,2.87486,1.04,880.895,297.2158443,47.3785082
Kepler-1219 b,Kepler-1219,Transit,2016,16.10519,1.66,,827.0,6052.0,1.21,1.04,880.895,297.2158443,47.3785082
Kepler-1219 b,Kepler-1219,Transit,2016,16.10474503,3.21,,1159.0,5822.0,2.886,1.464,880.895,297.2158443,47.3785082
Kepler-122 b,Kepler-122,Transit,2014,5.76616658,1.84,,1040.0,6103.0,0.949,1.028,1027.45,291.1118647,39.9490248
Kepler-122 b,Kepler-122,Transit,2014,5.766148,1.92,,1048.0,6102.0,0.97,1.07,1027.45,291.1118647,39.9490248
Kepler-122 b,Kepler-122,Transit,2014,5.766193,2.34,,,6050.0,1.216,,1027.45,291.1118647,39.9490248
Kepler-122 b,Kepler-122,Transit,2014,5.7662900883,,,,6012.0,1.25771,1.11,1027.45,291.1118647,39.9490248
Kepler-122 b,Kepler-122,Transit,2014,5.766165573,2.27,,1159.0,6038.0,1.191,0.995,1027.45,291.1118647,39.9490248
Kepler-122 b,Kepler-122,Transit,2014,5.76616658,2.26,,,6076.0,1.15,1.08,1027.45,291.1118647,39.9490248
Kepler-122 b,Kepler-122,Transit,2014,5.76616658,2.402,,,5917.0,1.239,0.982,1027.45,291.1118647,39.9490248
Kepler-122 b,Kepler-122,Transit,2014,5.766165573,,,,6012.0,1.25771,1.11,1027.45,291.1118647,39.9490248
Kepler-122 b,Kepler-122,Transit,2014,,2.423,,,5917.0,1.269,,1027.45,291.1118647,39.9490248
Kepler-122 b,Kepler-122,Transit,2014,5.76617305,,,,6012.0,1.25771,1.11,1027.45,291.1118647,39.9490248
Kepler-122 c,Kepler-122,Transit,2014,12.465995556,6.081,,,5917.0,1.239,0.982,1027.45,291.1118647,39.9490248
Kepler-122 c,Kepler-122,Transit,2014,12.466071,4.7,,807.0,6102.0,0.97,1.07,1027.45,291.1118647,39.9490248
Kepler-122 c,Kepler-122,Transit,2014,12.465995556,4.66,,804.0,6103.0,0.949,1.028,1027.45,291.1118647,39.9490248
Kepler-122 c,Kepler-122,Transit,2014,12.466004437,5.65,,897.0,6038.0,1.191,0.995,1027.45,291.1118647,39.9490248
Kepler-122 c,Kepler-122,Transit,2014,12.46600439,,,,6012.0,1.25771,1.11,1027.45,291.1118647,39.9490248
Kepler-122 c,Kepler-122,Transit,2014,,6.017,,,5917.0,1.269,,1027.45,291.1118647,39.9490248
Kepler-122 c,Kepler-122,Transit,2014,12.465988,5.87,,,6050.0,1.216,,1027.45,291.1118647,39.9490248
Kepler-122 c,Kepler-122,Transit,2014,12.465995556,5.62,,,6076.0,1.15,1.08,1027.45,291.1118647,39.9490248
Kepler-122 c,Kepler-122,Transit,2014,12.466004437,,,,6012.0,1.25771,1.11,1027.45,291.1118647,39.9490248
Kepler-122 c,Kepler-122,Transit,2014,12.46606378,,,,6012.0,1.25771,1.11,1027.45,291.1118647,39.9490248
Kepler-122 d,Kepler-122,Transit,2014,21.587475,2.2,,,6050.0,1.216,,1027.45,291.1118647,39.9490248
Kepler-122 d,Kepler-122,Transit,2014,21.5878875,1.89,,,6076.0,1.15,1.08,1027.45,291.1118647,39.9490248
Kepler-122 d,Kepler-122,Transit,2014,21.58704822,,,,6012.0,1.25771,1.11,1027.45,291.1118647,39.9490248
Kepler-122 d,Kepler-122,Transit,2014,21.58738,1.82,,674.0,6102.0,0.97,1.07,1027.45,291.1118647,39.9490248
Kepler-122 d,Kepler-122,Transit,2014,21.5878875,1.979,,,5917.0,1.239,0.982,1027.45,291.1118647,39.9490248
Kepler-122 d,Kepler-122,Transit,2014,21.58752788,,,,6012.0,1.25771,1.11,1027.45,291.1118647,39.9490248
Kepler-122 d,Kepler-122,Transit,2014,21.5878875,1.52,,670.0,6103.0,0.949,1.028,1027.45,291.1118647,39.9490248
Kepler-122 d,Kepler-122,Transit,2014,21.58752788,2.18,,747.0,6038.0,1.191,0.995,1027.45,291.1118647,39.9490248
Kepler-122 d,Kepler-122,Transit,2014,21.5862246162,,,,6012.0,1.25771,1.11,1027.45,291.1118647,39.9490248
Kepler-122 d,Kepler-122,Transit,2014,,2.328,,,5917.0,1.269,,1027.45,291.1118647,39.9490248
Kepler-122 e,Kepler-122,Transit,2014,37.9963981,1.93,,555.0,6103.0,0.949,1.028,1027.45,291.1118647,39.9490248
Kepler-122 e,Kepler-122,Transit,2014,37.99487832,,,,6012.0,1.25771,1.11,1027.45,291.1118647,39.9490248
Kepler-122 e,Kepler-122,Transit,2014,37.9963981,2.38,,,6076.0,1.15,1.08,1027.45,291.1118647,39.9490248
Kepler-122 e,Kepler-122,Transit,2014,37.9962369,2.39,,618.0,6038.0,1.191,0.995,1027.45,291.1118647,39.9490248
Kepler-122 e,Kepler-122,Transit,2014,37.9946193227,,,,6012.0,1.25771,1.11,1027.45,291.1118647,39.9490248
Kepler-122 e,Kepler-122,Transit,2014,37.99441,1.85,,558.0,6102.0,0.97,1.07,1027.45,291.1118647,39.9490248
Kepler-122 e,Kepler-122,Transit,2014,37.9963981,2.525,,,5917.0,1.239,0.982,1027.45,291.1118647,39.9490248
Kepler-122 e,Kepler-122,Transit,2014,37.9962369,,,,6012.0,1.25771,1.11,1027.45,291.1118647,39.9490248
Kepler-122 e,Kepler-122,Transit,2014,,2.549,,,5917.0,1.269,,1027.45,291.1118647,39.9490248
Kepler-122 e,Kepler-122,Transit,2014,38.0,2.02,27.7,,,0.949,1.03,1027.45,291.1118647,39.9490248
Kepler-122 e,Kepler-122,Transit,2014,37.993273,2.6,,,6050.0,1.216,,1027.45,291.1118647,39.9490248
Kepler-122 f,Kepler-122,Transit Timing Variations,2014,56.26038914,,,,6012.0,1.25771,1.11,1027.45,291.1118647,39.9490248
Kepler-122 f,Kepler-122,Transit Timing Variations,2014,56.268,1.75,36.0,,,0.949,1.03,1027.45,291.1118647,39.9490248
Kepler-122 f,Kepler-122,Transit Timing Variations,2014,,2.369,,,5917.0,1.269,,1027.45,291.1118647,39.9490248
Kepler-122 f,Kepler-122,Transit Timing Variations,2014,56.2590881,2.22,,543.0,6038.0,1.191,0.995,1027.45,291.1118647,39.9490248
Kepler-122 f,Kepler-122,Transit Timing Variations,2014,56.2590881,,,,6012.0,1.25771,1.11,1027.45,291.1118647,39.9490248
Kepler-122 f,Kepler-122,Transit Timing Variations,2014,56.2587885,2.15,,,6076.0,1.15,1.08,1027.45,291.1118647,39.9490248
Kepler-122 f,Kepler-122,Transit Timing Variations,2014,56.2587885,1.81,,487.0,6103.0,0.949,1.028,1027.45,291.1118647,39.9490248
Kepler-122 f,Kepler-122,Transit Timing Variations,2014,56.2587885,2.368,,,5917.0,1.239,0.982,1027.45,291.1118647,39.9490248
Kepler-122 f,Kepler-122,Transit Timing Variations,2014,56.25696,1.79,,489.0,6102.0,0.97,1.07,1027.45,291.1118647,39.9490248
Kepler-1220 b,Kepler-1220,Transit,2016,7.42693741,1.37,,923.0,5745.0,0.908,0.778,961.907,297.070398,42.9777396
Kepler-1220 b,Kepler-1220,Transit,2016,7.42697378,,,,5873.0,0.993887,1.06,961.907,297.070398,42.9777396
Kepler-1220 b,Kepler-1220,Transit,2016,,1.502,,,5575.0,1.051,,961.907,297.070398,42.9777396
Kepler-1220 b,Kepler-1220,Transit,2016,7.42697378,1.4,,899.0,5573.0,0.982,0.957,961.907,297.070398,42.9777396
Kepler-1220 b,Kepler-1220,Transit,2016,7.42693741,1.52,,,5842.0,0.99,1.0,961.907,297.070398,42.9777396
Kepler-1220 b,Kepler-1220,Transit,2016,7.42716,1.38,,944.0,5811.0,0.99,0.942,961.907,297.070398,42.9777396
Kepler-1220 b,Kepler-1220,Transit,2016,7.4269008437,,,,5873.0,0.993887,1.06,961.907,297.070398,42.9777396
Kepler-1221 b,Kepler-1221,Transit,2016,12.00096042,1.61,,632.0,5195.0,0.69,0.688,913.65,285.8223636,45.7118423
Kepler-1221 b,Kepler-1221,Transit,2016,12.00100299,,,,,,,913.65,285.8223636,45.7118423
Kepler-1221 b,Kepler-1221,Transit,2016,12.0010017218,,,,,,,913.65,285.8223636,45.7118423
Kepler-1221 b,Kepler-1221,Transit,2016,12.00089667,1.47,,632.0,5195.0,0.69,0.688,913.65,285.8223636,45.7118423
Kepler-1221 b,Kepler-1221,Transit,2016,12.00096042,1.88,,,5194.0,0.82,0.87,913.65,285.8223636,45.7118423
Kepler-1221 b,Kepler-1221,Transit,2016,12.00095,1.68,,653.0,5275.0,0.76,0.825,913.65,285.8223636,45.7118423
Kepler-1221 b,Kepler-1221,Transit,2016,12.00089667,,,,,,,913.65,285.8223636,45.7118423
Kepler-1222 b,Kepler-1222,Transit,2016,1.916944254,0.759,,,5066.0,0.742,0.797,415.218,294.889616,49.3798215
Kepler-1222 b,Kepler-1222,Transit,2016,1.916992,0.9,,1170.0,5220.0,0.723,0.824,415.218,294.889616,49.3798215
Kepler-1222 b,Kepler-1222,Transit,2016,1.9169420654,,,,5121.0,0.750133,0.862,415.218,294.889616,49.3798215
Kepler-1222 b,Kepler-1222,Transit,2016,,0.766,,,5066.0,0.748,,415.218,294.889616,49.3798215
Kepler-1222 b,Kepler-1222,Transit,2016,1.916940872,0.89,,1246.0,5083.0,0.872,0.815,415.218,294.889616,49.3798215
Kepler-1222 b,Kepler-1222,Transit,2016,1.916944254,0.79,,,5239.0,0.8,0.84,415.218,294.889616,49.3798215
Kepler-1222 b,Kepler-1222,Transit,2016,1.916944254,0.69,,1134.0,5166.0,0.678,0.752,415.218,294.889616,49.3798215
Kepler-1222 b,Kepler-1222,Transit,2016,1.916940872,,,,5121.0,0.750133,0.862,415.218,294.889616,49.3798215
Kepler-1223 b,Kepler-1223,Transit,2016,16.30177,1.12,,512.0,4761.0,0.66,0.682,459.957,285.2956462,44.5527542
Kepler-1223 b,Kepler-1223,Transit,2016,16.301259,1.31,,557.0,4875.0,0.795,0.838,459.957,285.2956462,44.5527542
Kepler-1223 b,Kepler-1223,Transit,2016,16.301259,1.22,,,4870.0,0.75,0.8,459.957,285.2956462,44.5527542
Kepler-1223 b,Kepler-1223,Transit,2016,16.3012727,,,,4656.0,0.823977,0.74,459.957,285.2956462,44.5527542
Kepler-1223 b,Kepler-1223,Transit,2016,16.3012727,1.54,,557.0,4873.0,0.796,0.836,459.957,285.2956462,44.5527542
Kepler-1223 b,Kepler-1223,Transit,2016,16.3012457648,,,,4656.0,0.823977,0.74,459.957,285.2956462,44.5527542
Kepler-1223 b,Kepler-1223,Transit,2016,16.30137438,,,,4656.0,0.823977,0.74,459.957,285.2956462,44.5527542
Kepler-1223 b,Kepler-1223,Transit,2016,,1.459,,,4872.0,0.755,,459.957,285.2956462,44.5527542
Kepler-1224 b,Kepler-1224,Transit,2016,13.32351601,1.11,,852.0,6282.0,1.048,1.015,559.598,286.6257591,37.537313
Kepler-1224 b,Kepler-1224,Transit,2016,13.32351601,1.248,,,6125.0,1.181,1.179,559.598,286.6257591,37.537313
Kepler-1224 b,Kepler-1224,Transit,2016,13.32354078,1.32,,872.0,6113.0,1.218,1.194,559.598,286.6257591,37.537313
Kepler-1224 b,Kepler-1224,Transit,2016,13.32360062,,,,6254.0,1.1933,1.21,559.598,286.6257591,37.537313
Kepler-1224 b,Kepler-1224,Transit,2016,13.32354078,,,,6254.0,1.1933,1.21,559.598,286.6257591,37.537313
Kepler-1224 b,Kepler-1224,Transit,2016,,1.291,,,6125.0,1.194,,559.598,286.6257591,37.537313
Kepler-1224 b,Kepler-1224,Transit,2016,13.3235885502,,,,6254.0,1.1933,1.21,559.598,286.6257591,37.537313
Kepler-1224 b,Kepler-1224,Transit,2016,13.323565,1.14,,856.0,6292.0,1.08,1.13,559.598,286.6257591,37.537313
Kepler-1224 b,Kepler-1224,Transit,2016,13.32351601,1.33,,,6155.0,1.22,1.18,559.598,286.6257591,37.537313
Kepler-1225 b,Kepler-1225,Transit,2016,,2.075,,,5822.0,1.367,,1347.52,290.6332748,40.1369671
Kepler-1225 b,Kepler-1225,Transit,2016,7.01075434,1.82,,,6140.0,1.19,1.13,1347.52,290.6332748,40.1369671
Kepler-1225 b,Kepler-1225,Transit,2016,7.0107392798,,,,6164.96,1.286,1.17,1347.52,290.6332748,40.1369671
Kepler-1225 b,Kepler-1225,Transit,2016,7.01075434,1.57,,1046.0,6341.0,1.033,1.083,1347.52,290.6332748,40.1369671
Kepler-1225 b,Kepler-1225,Transit,2016,7.01074295,3.76,,1453.0,5814.0,2.476,1.243,1347.52,290.6332748,40.1369671
Kepler-1225 b,Kepler-1225,Transit,2016,7.010723,1.82,,1069.0,6369.0,1.09,1.16,1347.52,290.6332748,40.1369671
Kepler-1225 b,Kepler-1225,Transit,2016,7.01074295,,,,6164.96,1.286,1.17,1347.52,290.6332748,40.1369671
Kepler-1226 b,Kepler-1226,Transit,2016,17.2923453,1.45,,,5923.0,1.02,1.02,1125.72,296.3768521,50.6214592
Kepler-1226 b,Kepler-1226,Transit,2016,17.2923453,1.36,,734.0,6184.0,0.959,1.031,1125.72,296.3768521,50.6214592
Kepler-1226 b,Kepler-1226,Transit,2016,17.2923453,2.066,,,6000.0,1.46,1.208,1125.72,296.3768521,50.6214592
Kepler-1226 b,Kepler-1226,Transit,2016,17.2920619,,,,5985.99,1.40643,1.1,1125.72,296.3768521,50.6214592
Kepler-1226 b,Kepler-1226,Transit,2016,,2.457,,,6000.0,1.495,,1125.72,296.3768521,50.6214592
Kepler-1226 b,Kepler-1226,Transit,2016,17.2922631,,,,5985.99,1.40643,1.1,1125.72,296.3768521,50.6214592
Kepler-1226 b,Kepler-1226,Transit,2016,17.2922631,2.13,,809.0,5936.0,1.299,1.122,1125.72,296.3768521,50.6214592
Kepler-1226 b,Kepler-1226,Transit,2016,17.29184,1.52,,748.0,6197.0,1.01,1.1,1125.72,296.3768521,50.6214592
Kepler-1226 b,Kepler-1226,Transit,2016,17.2925062369,,,,5985.99,1.40643,1.1,1125.72,296.3768521,50.6214592
Kepler-1227 b,Kepler-1227,Transit,2016,94.289223,,,,5604.0,0.884071,0.99,623.706,287.0664109,41.8749712
Kepler-1227 b,Kepler-1227,Transit,2016,,2.169,,,5485.0,0.928,,623.706,287.0664109,41.8749712
Kepler-1227 b,Kepler-1227,Transit,2016,94.2887577,2.16,,393.0,5799.0,0.901,0.833,623.706,287.0664109,41.8749712
Kepler-1227 b,Kepler-1227,Transit,2016,94.2887577,2.29,,,5747.0,0.95,0.97,623.706,287.0664109,41.8749712
Kepler-1227 b,Kepler-1227,Transit,2016,94.289223,2.11,,369.0,5632.0,0.904,1.026,623.706,287.0664109,41.8749712
Kepler-1227 b,Kepler-1227,Transit,2016,94.2887577,2.204,,,5485.0,0.915,0.858,623.706,287.0664109,41.8749712
Kepler-1227 b,Kepler-1227,Transit,2016,94.28933423,,,,5604.0,0.884071,0.99,623.706,287.0664109,41.8749712
Kepler-1227 b,Kepler-1227,Transit,2016,94.2899,2.13,,401.0,5840.0,0.97,0.957,623.706,287.0664109,41.8749712
Kepler-1228 b,Kepler-1228,Transit,2016,,1.456,,,4767.0,0.734,,515.453,296.552761,46.9661945
Kepler-1228 b,Kepler-1228,Transit,2016,0.577369579,1.47,,1768.0,5256.0,0.721,0.769,515.453,296.552761,46.9661945
Kepler-1228 b,Kepler-1228,Transit,2016,0.577369579,1.54,,,5063.0,0.74,0.78,515.453,296.552761,46.9661945
Kepler-1228 b,Kepler-1228,Transit,2016,0.5773752,1.63,,1764.0,5285.0,0.74,0.839,515.453,296.552761,46.9661945
Kepler-1228 b,Kepler-1228,Transit,2016,0.577369336,,,,4914.65,0.728395,0.806,515.453,296.552761,46.9661945
Kepler-1228 b,Kepler-1228,Transit,2016,0.577369579,1.484,,,4767.0,0.727,0.666,515.453,296.552761,46.9661945
Kepler-1228 b,Kepler-1228,Transit,2016,0.577369336,1.42,,1757.0,5255.0,0.716,0.776,515.453,296.552761,46.9661945
Kepler-1228 b,Kepler-1228,Transit,2016,0.5773691747,,,,4914.65,0.728395,0.806,515.453,296.552761,46.9661945
Kepler-1229 b,Kepler-1229,Transit,2016,86.828989,1.4,,,3784.0,0.51,0.54,265.482,297.4868347,46.9966782
Kepler-1229 b,Kepler-1229,Transit,2016,86.829519,1.68,,196.0,3576.0,0.463,0.482,265.482,297.4868347,46.9966782
Kepler-1229 b,Kepler-1229,Transit,2016,86.82974,1.34,,212.0,3577.0,0.45,0.48,265.482,297.4868347,46.9966782
Kepler-1229 b,Kepler-1229,Transit,2016,86.828989,1.12,,196.0,3724.0,0.414,0.431,265.482,297.4868347,46.9966782
Kepler-1229 b,Kepler-1229,Transit,2016,86.82716991,,,,3774.0,0.565878,0.559315,265.482,297.4868347,46.9966782
Kepler-1229 b,Kepler-1229,Transit,2016,86.8290103766,,,,3774.0,0.565878,0.559315,265.482,297.4868347,46.9966782
Kepler-1229 b,Kepler-1229,Transit,2016,,2.064,,,3577.0,0.569,,265.482,297.4868347,46.9966782
Kepler-1229 b,Kepler-1229,Transit,2016,86.829519,,,,3774.0,0.565878,0.559315,265.482,297.4868347,46.9966782
Kepler-1229 b,Kepler-1229,Transit,2016,86.8299,1.66,,228.0,4013.0,0.52,0.543,265.482,297.4868347,46.9966782
Kepler-123 b,Kepler-123,Transit,2014,17.23231686,2.78,,,6147.0,1.21,1.12,1021.66,296.9985853,42.7819633
Kepler-123 b,Kepler-123,Transit,2014,17.2324193419,,,,6338.0,1.32895,1.25,1021.66,296.9985853,42.7819633
Kepler-123 b,Kepler-123,Transit,2014,17.232,2.55,55.3,,,1.092,1.01,1021.66,296.9985853,42.7819633
Kepler-123 b,Kepler-123,Transit,2014,17.23232894,2.79,,817.0,6086.0,1.216,1.013,1021.66,296.9985853,42.7819633
Kepler-123 b,Kepler-123,Transit,2014,17.23231686,2.51,,774.0,6086.0,1.092,1.012,1021.66,296.9985853,42.7819633
Kepler-123 b,Kepler-123,Transit,2014,17.232366,2.94,,,6089.0,1.264,,1021.66,296.9985853,42.7819633
Kepler-123 b,Kepler-123,Transit,2014,17.23231686,3.026,,,6154.0,1.318,1.079,1021.66,296.9985853,42.7819633
Kepler-123 b,Kepler-123,Transit,2014,17.23233706,,,,6338.0,1.32895,1.25,1021.66,296.9985853,42.7819633
Kepler-123 b,Kepler-123,Transit,2014,17.23232894,,,,6338.0,1.32895,1.25,1021.66,296.9985853,42.7819633
Kepler-123 b,Kepler-123,Transit,2014,17.23229,2.5,,770.0,6274.0,1.05,1.13,1021.66,296.9985853,42.7819633
Kepler-123 b,Kepler-123,Transit,2014,,3.124,,,6154.0,1.362,,1021.66,296.9985853,42.7819633
Kepler-123 c,Kepler-123,Transit,2014,,1.572,,,6154.0,1.362,,1021.66,296.9985853,42.7819633
Kepler-123 c,Kepler-123,Transit,2014,26.6951659,1.31,,669.0,6086.0,1.092,1.012,1021.66,296.9985853,42.7819633
Kepler-123 c,Kepler-123,Transit,2014,26.696,,,,,1.092,1.01,1021.66,296.9985853,42.7819633
Kepler-123 c,Kepler-123,Transit,2014,26.69527592,,,,6338.0,1.32895,1.25,1021.66,296.9985853,42.7819633
Kepler-123 c,Kepler-123,Transit,2014,26.6951944,,,,6338.0,1.32895,1.25,1021.66,296.9985853,42.7819633
Kepler-123 c,Kepler-123,Transit,2014,26.6955476334,,,,6338.0,1.32895,1.25,1021.66,296.9985853,42.7819633
Kepler-123 c,Kepler-123,Transit,2014,26.69376,1.41,,666.0,6274.0,1.05,1.13,1021.66,296.9985853,42.7819633
Kepler-123 c,Kepler-123,Transit,2014,26.6951659,1.46,,,6147.0,1.21,1.12,1021.66,296.9985853,42.7819633
Kepler-123 c,Kepler-123,Transit,2014,26.695074,1.48,,,6089.0,1.264,,1021.66,296.9985853,42.7819633
Kepler-123 c,Kepler-123,Transit,2014,26.6951659,1.575,,,6154.0,1.318,1.079,1021.66,296.9985853,42.7819633
Kepler-123 c,Kepler-123,Transit,2014,26.6951944,1.4,,706.0,6086.0,1.216,1.013,1021.66,296.9985853,42.7819633
Kepler-1230 b,Kepler-1230,Transit,2016,9.95663424,,,,5845.0,1.08946,1.05,1364.22,283.2645129,41.7114526
Kepler-1230 b,Kepler-1230,Transit,2016,9.95667035,,,,5845.0,1.08946,1.05,1364.22,283.2645129,41.7114526
Kepler-1230 b,Kepler-1230,Transit,2016,9.95661537,2.85,,946.0,6165.0,1.115,1.048,1364.22,283.2645129,41.7114526
Kepler-1230 b,Kepler-1230,Transit,2016,9.9567996476,,,,5845.0,1.08946,1.05,1364.22,283.2645129,41.7114526
Kepler-1230 b,Kepler-1230,Transit,2016,,3.069,,,6167.0,1.003,,1364.22,283.2645129,41.7114526
Kepler-1230 b,Kepler-1230,Transit,2016,9.95667035,3.41,,946.0,6165.0,1.115,1.048,1364.22,283.2645129,41.7114526
Kepler-1230 b,Kepler-1230,Transit,2016,9.95661537,2.71,,,5961.0,1.08,1.06,1364.22,283.2645129,41.7114526
Kepler-1230 b,Kepler-1230,Transit,2016,9.95699,3.3,,934.0,6144.0,1.1,1.06,1364.22,283.2645129,41.7114526
Kepler-1231 b,Kepler-1231,Transit,2016,10.417367726,,,,5572.0,1.10189,0.98,987.237,288.5882888,42.6056644
Kepler-1231 b,Kepler-1231,Transit,2016,10.41725184,1.29,,808.0,5851.0,0.918,1.007,987.237,288.5882888,42.6056644
Kepler-1231 b,Kepler-1231,Transit,2016,10.41728722,1.64,,870.0,5557.0,1.151,0.936,987.237,288.5882888,42.6056644
Kepler-1231 b,Kepler-1231,Transit,2016,10.41728722,,,,5572.0,1.10189,0.98,987.237,288.5882888,42.6056644
Kepler-1231 b,Kepler-1231,Transit,2016,10.41725184,1.42,,,5778.0,1.0,1.01,987.237,288.5882888,42.6056644
Kepler-1231 b,Kepler-1231,Transit,2016,10.41729,1.27,,788.0,5817.0,0.88,0.98,987.237,288.5882888,42.6056644
Kepler-1231 b,Kepler-1231,Transit,2016,,1.529,,,5559.0,1.07,,987.237,288.5882888,42.6056644
Kepler-1232 b,Kepler-1232,Transit,2016,26.78372,1.7,,563.0,5413.0,0.91,0.816,632.865,296.5500966,49.102307
Kepler-1232 b,Kepler-1232,Transit,2016,26.7838935,,,,5241.0,0.801993,0.9,632.865,296.5500966,49.102307
Kepler-1232 b,Kepler-1232,Transit,2016,26.7839183,2.12,,583.0,5495.0,0.985,0.912,632.865,296.5500966,49.102307
Kepler-1232 b,Kepler-1232,Transit,2016,26.7839183,1.93,,,5471.0,0.89,0.92,632.865,296.5500966,49.102307
Kepler-1232 b,Kepler-1232,Transit,2016,,1.462,,,5214.0,0.785,,632.865,296.5500966,49.102307
Kepler-1232 b,Kepler-1232,Transit,2016,26.7838935,1.59,,523.0,5242.0,0.856,0.869,632.865,296.5500966,49.102307
Kepler-1232 b,Kepler-1232,Transit,2016,26.7839702617,,,,5241.0,0.801993,0.9,632.865,296.5500966,49.102307
Kepler-1232 b,Kepler-1232,Transit,2016,26.78347382,,,,5241.0,0.801993,0.9,632.865,296.5500966,49.102307
Kepler-1232 b,Kepler-1232,Transit,2016,26.7839183,1.659,,,5214.0,0.773,0.841,632.865,296.5500966,49.102307
Kepler-1233 b,Kepler-1233,Transit,2016,45.12638103,,,,6118.89,1.14753,1.15,1178.7,297.3750954,46.6622201
Kepler-1233 b,Kepler-1233,Transit,2016,45.1263042,2.36,,604.0,6505.0,1.163,1.185,1178.7,297.3750954,46.6622201
Kepler-1233 b,Kepler-1233,Transit,2016,45.126216,2.32,,604.0,6499.0,1.169,1.191,1178.7,297.3750954,46.6622201
Kepler-1233 b,Kepler-1233,Transit,2016,45.1263042,2.6,,,6198.0,1.25,1.16,1178.7,297.3750954,46.6622201
Kepler-1233 b,Kepler-1233,Transit,2016,45.1257,2.09,,598.0,6495.0,1.15,1.21,1178.7,297.3750954,46.6622201
Kepler-1233 b,Kepler-1233,Transit,2016,,2.26,,,6507.0,1.137,,1178.7,297.3750954,46.6622201
Kepler-1233 b,Kepler-1233,Transit,2016,45.126216,,,,6118.89,1.14753,1.15,1178.7,297.3750954,46.6622201
Kepler-1233 b,Kepler-1233,Transit,2016,45.1257565702,,,,6118.89,1.14753,1.15,1178.7,297.3750954,46.6622201
Kepler-1234 b,Kepler-1234,Transit,2016,11.94014029,2.87,,634.0,5072.0,0.774,0.835,916.749,287.5220359,51.3759464
Kepler-1234 b,Kepler-1234,Transit,2016,11.94019101,,,,4805.0,0.855722,0.78,916.749,287.5220359,51.3759464
Kepler-1234 b,Kepler-1234,Transit,2016,11.94014029,2.81,,,4967.0,0.76,0.8,916.749,287.5220359,51.3759464
Kepler-1234 b,Kepler-1234,Transit,2016,11.9401182337,,,,4805.0,0.855722,0.78,916.749,287.5220359,51.3759464
Kepler-1234 b,Kepler-1234,Transit,2016,11.94019101,1.86,,625.0,5073.0,0.748,0.856,916.749,287.5220359,51.3759464
Kepler-1234 b,Kepler-1234,Transit,2016,,1.959,,,5074.0,0.788,,916.749,287.5220359,51.3759464
Kepler-1234 b,Kepler-1234,Transit,2016,11.93999,2.6,,602.0,5010.0,0.69,0.763,916.749,287.5220359,51.3759464
